3, {51 2000600}, {40 999600}, {53 0}, {50 8402472989100}, {55 208989500}, {56 138992500}
3, {41 1000000}, {46 2002300}, {51 998700}, {40 8396032764900}, {53 196408700}, {54 149991500}
1, {47 999600}, {46 2000500}, {53 0}, {40 8649904865300}, {56 457977600}, {57 130990000}
4, {40 1000500}, {45 999600}, {49 0}, {44 8288901638400}, {55 179080200}, {55 143991100}
2, {45 1000500}, {47 1000000}, {55 0}, {51 8646124619700}, {57 126992700}, {57 117994000}
5, {44 1000500}, {42 999600}, {50 0}, {44 8173219521700}, {55 134282700}, {55 127993600}
2, {45 1000500}, {41 999600}, {55 999700}, {50 8582199315700}, {55 150992300}, {56 140990900}
3, {44 999600}, {49 999600}, {49 0}, {40 8347095501800}, {52 430977800}, {53 129993400}
4, {41 1000500}, {39 999600}, {46 0}, {42 8186253708700}, {50 159225000}, {50 112144200}
2, {43 2000500}, {47 1000100}, {49 0}, {48 8339124635400}, {53 132735600}, {53 137992900}
3, {47 1000100}, {48 1999200}, {53 0}, {46 8359473162400}, {54 158991500}, {54 135486700}
1, {54 999600}, {43 999200}, {57 1000100}, {46 8770897029900}, {56 182963700}, {58 126911500}
