4, {23 999200}, {24 2000100}, {28 0}, {23 3992122636700}, {31 311982600}, {31 87995700}
6, {26 1001400}, {24 998700}, {29 0}, {20 4069230427300}, {30 122994300}, {30 81994500}
1, {19 999200}, {27 2000100}, {32 0}, {23 4452514473000}, {34 127921400}, {34 78996500}
4, {20 1001800}, {29 0}, {30 0}, {22 4095815006700}, {29 130992500}, {31 81994600}
4, {26 1000400}, {25 0}, {28 999700}, {17 4242031797700}, {29 119994500}, {31 82995000}
2, {26 999700}, {28 1000400}, {31 0}, {25 4420722054800}, {32 401036100}, {33 88994600}
3, {24 0}, {23 1000000}, {30 0}, {22 4386669635300}, {30 147993000}, {31 90994700}
5, {18 0}, {28 998300}, {30 0}, {27 4214956767600}, {31 401978800}, {31 75995200}
8, {22 1000900}, {23 0}, {28 0}, {25 3794775746200}, {30 118057300}, {31 78045700}
7, {18 999600}, {24 0}, {29 0}, {21 4072799407900}, {30 117992700}, {30 80996200}
5, {25 1000400}, {24 0}, {27 1000900}, {24 4178121830000}, {30 131992500}, {30 74996000}
6, {22 0}, {24 1000500}, {25 0}, {20 4163918833900}, {30 116993100}, {30 77086300}
5, {21 1000500}, {24 0}, {30 1000500}, {25 4206289467700}, {31 400979700}, {31 78731700}
5, {23 0}, {27 999600}, {30 0}, {23 4212077715900}, {31 125994400}, {31 71996200}
7, {24 0}, {21 0}, {28 0}, {20 4069404994800}, {28 399229000}, {28 78996100}
