22, {46 1000900}, {48 1000000}, {66 0}, {43 9506435087200}, {70 182990600}, {70 129992100}
17, {55 1000000}, {49 1999700}, {67 0}, {54 10159621702500}, {71 200264800}, {71 154043400}
11, {56 2062500}, {60 2000600}, {70 0}, {60 10805805998900}, {74 518076300}, {74 193989500}
13, {51 1999600}, {57 1000100}, {65 1000000}, {52 10515851596000}, {70 241987400}, {72 151991500}
11, {59 1000100}, {54 1999600}, {72 999700}, {53 10837851492800}, {72 191310200}, {75 189990100}
19, {49 999700}, {52 2000100}, {67 999600}, {49 9877796835100}, {68 184991100}, {69 136990300}
16, {48 1000100}, {60 1000000}, {67 0}, {52 9949914933400}, {70 185990400}, {73 157993100}
12, {49 1000000}, {57 1999700}, {65 0}, {46 10588786725500}, {70 205052500}, {71 179129400}
