1, {8 0}, {6 1000900}, {9 0}, {8 4200850000}, {8 106993300}, {9 62997800}
0, {7 1000000}, {9 0}, {8 0}, {5 4347841100}, {10 76315100}, {10 65675400}
0, {8 1046200}, {7 0}, {9 0}, {8 4527938400}, {9 64995400}, {9 67079300}
0, {8 0}, {9 1000900}, {8 0}, {7 2065638200}, {9 284984000}, {10 65994600}
1, {5 0}, {7 0}, {9 0}, {5 4408997900}, {9 98266100}, {9 79995800}
0, {6 0}, {9 0}, {10 0}, {9 4754863200}, {10 84429300}, {10 56996600}
0, {7 0}, {6 0}, {9 0}, {8 4982192000}, {9 154992900}, {10 121989800}
1, {6 0}, {7 0}, {8 0}, {6 4539988600}, {9 69996500}, {9 59994600}
0, {7 0}, {8 0}, {9 0}, {4 4860074200}, {10 112993600}, {10 70996500}
0, {3 0}, {8 0}, {9 0}, {5 4950518300}, {10 56663000}, {10 60496000}
0, {8 0}, {9 0}, {9 0}, {7 5037534100}, {10 51019400}, {10 79994900}
0, {8 0}, {8 1000900}, {9 0}, {7 4927561200}, {10 104996600}, {10 49210100}
0, {9 0}, {7 997500}, {9 0}, {7 4691416800}, {9 70996500}, {9 49998000}
0, {6 0}, {5 0}, {9 1000000}, {7 4756665800}, {9 81989800}, {9 78156900}
0, {5 0}, {7 0}, {9 0}, {7 4746442400}, {10 65159200}, {10 80102600}
