12, {29 1000000}, {37 1088200}, {39 0}, {30 5566501251100}, {41 101994900}, {41 103993600}
6, {37 0}, {31 1001400}, {41 0}, {32 6104842518400}, {44 146992600}, {44 107992900}
10, {38 0}, {29 1000900}, {41 0}, {30 5891418834400}, {42 148143100}, {44 102187700}
8, {32 1000500}, {40 0}, {38 1000100}, {33 6021411844200}, {47 150701900}, {47 105992900}
10, {30 999600}, {33 1001300}, {38 0}, {35 5766454140900}, {40 150152600}, {42 97994600}
9, {28 1000900}, {36 999200}, {40 0}, {35 5894893996400}, {40 158376800}, {43 100996900}
13, {30 1000100}, {29 1000000}, {39 0}, {29 5538586661700}, {40 150080400}, {40 99993800}
7, {30 1001300}, {36 999200}, {40 0}, {31 5968125529900}, {41 146992100}, {44 109994800}
10, {32 999600}, {31 1000000}, {38 0}, {35 5880899735900}, {43 416977500}, {43 87996200}
5, {35 1000400}, {31 999700}, {40 1000000}, {32 6242632316400}, {41 157991000}, {44 95994900}
