0, {57 2000900}, {73 2000100}, {84 1000100}, {64 1606860541200}, {82 328341500}, {92 268986700}
0, {67 2000100}, {73 1999700}, {74 0}, {54 1520395866900}, {79 262778100}, {84 230988000}
0, {77 2000100}, {81 1999300}, {84 0}, {68 1645237396400}, {90 365980800}, {95 347982000}
0, {73 1998400}, {69 2000500}, {87 0}, {79 1594051999000}, {88 393368100}, {92 348824200}
0, {77 999600}, {68 2000100}, {83 0}, {71 1600931947200}, {89 390086400}, {91 371215100}
0, {74 2997500}, {76 2001000}, {80 1000500}, {67 1629559109300}, {92 285985000}, {92 284061900}
0, {50 2000100}, {77 2998100}, {89 0}, {71 1627798477500}, {94 664288600}, {94 363979400}
0, {73 2000900}, {72 2002700}, {83 0}, {67 1585665776700}, {87 319982600}, {89 305982300}
0, {76 2000600}, {79 2999300}, {85 1000000}, {69 1610098701700}, {80 329404000}, {88 330793700}
0, {65 2000100}, {71 7214600}, {84 0}, {65 1627718488700}, {91 747959900}, {95 440115300}
0, {76 1000900}, {74 1999200}, {77 0}, {56 1518355031600}, {75 316210800}, {85 248984700}
0, {67 1999700}, {75 2999800}, {84 0}, {70 1605202737600}, {88 315983200}, {92 332061500}
0, {55 2000100}, {76 2001000}, {82 0}, {65 1574016292100}, {85 290984500}, {92 304043300}
0, {65 1000500}, {73 2999800}, {81 0}, {70 1604197508000}, {82 290132400}, {90 254484700}
0, {71 2000100}, {71 2000600}, {81 0}, {64 1618332351500}, {89 311983500}, {92 300089300}
