0, {39 0}, {41 1000000}, {50 0}, {37 752072910300}, {52 196638500}, {52 138992500}
0, {33 1002200}, {46 1999700}, {52 0}, {39 759839292500}, {54 150993100}, {54 107993400}
0, {42 1002200}, {35 999600}, {52 0}, {32 765671629000}, {55 111993600}, {55 142991500}
0, {38 1000900}, {46 1000500}, {47 999200}, {30 738831380100}, {46 153992500}, {49 146991600}
0, {32 999600}, {40 999700}, {46 0}, {39 759437371700}, {51 167991100}, {51 115993800}
0, {36 1002600}, {36 999200}, {54 0}, {41 782247195900}, {56 175110800}, {56 145291900}
0, {28 1000100}, {41 1001800}, {43 0}, {39 708586788200}, {52 177113500}, {52 128144200}
0, {35 1000100}, {42 999600}, {49 0}, {39 765726720500}, {53 178992100}, {53 104994600}
0, {41 1000900}, {40 1999200}, {50 0}, {36 810532507400}, {49 206989700}, {51 120992900}
0, {26 0}, {39 1001800}, {47 0}, {29 692672876700}, {47 433256500}, {47 118992300}
0, {41 0}, {48 1000000}, {52 0}, {46 776974297200}, {54 147636700}, {54 129993300}
0, {39 998800}, {45 2000100}, {51 0}, {36 759466404100}, {53 147478000}, {53 105203700}
